?cls	?replCls	?consCls
<http://www.ebi.ac.uk/efo/EFO_0007738>	"http://purl.obolibrary.org/obo/OBA_2045214"	
<http://www.ebi.ac.uk/efo/EFO_0007739>	"http://purl.obolibrary.org/obo/OBA_2050109"	
<http://www.ebi.ac.uk/efo/EFO_0007772>	"http://purl.obolibrary.org/obo/OBA_0003330"	
<http://www.ebi.ac.uk/efo/EFO_0007776>	"http://purl.obolibrary.org/obo/OBA_2050326"	
<http://www.ebi.ac.uk/efo/EFO_0007779>	"OBA:2040117"	
<http://www.ebi.ac.uk/efo/EFO_0007786>	"http://purl.obolibrary.org/obo/OBA_2045215"	
<http://www.ebi.ac.uk/efo/EFO_0007808>	"OBA:2040091"	
<http://www.ebi.ac.uk/efo/EFO_0007815>	"OBA:2040121"	
<http://www.ebi.ac.uk/efo/EFO_0007816>	"OBA:2040122"	
<http://www.ebi.ac.uk/efo/EFO_0007821>	"http://purl.obolibrary.org/obo/OBA_VT0000367"	
<http://www.ebi.ac.uk/efo/EFO_0007822>	"http://purl.obolibrary.org/obo/OBA_0002313"	
<http://www.ebi.ac.uk/efo/EFO_0007823>	"http://purl.obolibrary.org/obo/OBA_2050112"	
<http://www.ebi.ac.uk/efo/EFO_0007824>	"http://purl.obolibrary.org/obo/OBA_0003493"	
<http://www.ebi.ac.uk/efo/EFO_0007826>	"http://purl.obolibrary.org/obo/OBA_1000376"	
<http://www.ebi.ac.uk/efo/EFO_0007841>	"http://purl.obolibrary.org/obo/OBA_VT0003743"	
<http://www.ebi.ac.uk/efo/EFO_0007842>	"http://purl.obolibrary.org/obo/OBA_2050101"	
<http://www.ebi.ac.uk/efo/EFO_0007843>	"http://purl.obolibrary.org/obo/OBA_VT0002233"	
<http://www.ebi.ac.uk/efo/EFO_0007844>	"http://purl.obolibrary.org/obo/OBA_2050106"	
<http://www.ebi.ac.uk/efo/EFO_0007845>	"http://purl.obolibrary.org/obo/OBA_VT0003769"	
<http://www.ebi.ac.uk/efo/EFO_0007849>	"http://purl.obolibrary.org/obo/OBA_VT0015058"	
<http://www.ebi.ac.uk/efo/EFO_0007853>	"OBA:2040085"	
<http://www.ebi.ac.uk/efo/EFO_0007858>	"http://purl.obolibrary.org/obo/OBA_VT0002092"	
<http://www.ebi.ac.uk/efo/EFO_0007866>	"OBA:2040022"	
<http://www.ebi.ac.uk/efo/EFO_0007867>	"OBA:2040079"	
<http://www.ebi.ac.uk/efo/EFO_0007868>	"OBA:2040004"	
<http://www.ebi.ac.uk/efo/EFO_0007871>	"OBA:2040055"	
<http://www.ebi.ac.uk/efo/EFO_0007877>	"http://purl.obolibrary.org/obo/OBA_2045293"	
<http://www.ebi.ac.uk/efo/EFO_0007878>	"http://purl.obolibrary.org/obo/OBA_1000840"	
<http://www.ebi.ac.uk/efo/EFO_0007890>	"http://purl.obolibrary.org/obo/OBA_2050198"	
<http://www.ebi.ac.uk/efo/EFO_0007891>	"http://purl.obolibrary.org/obo/OBA_VT0002796"	
<http://www.ebi.ac.uk/efo/EFO_0007917>	"OBA:2040089"	
<http://www.ebi.ac.uk/efo/EFO_0007919>	"OBA:2040075"	
<http://www.ebi.ac.uk/efo/EFO_0007921>	"OBA:2040118"	
<http://www.ebi.ac.uk/efo/EFO_0007923>	"OBA:2040139"	
<http://www.ebi.ac.uk/efo/EFO_0007925>	"OBA:2040132"	
<http://www.ebi.ac.uk/efo/EFO_0007932>	"http://purl.obolibrary.org/obo/OBA_2045256"	
<http://www.ebi.ac.uk/efo/EFO_0007947>	"http://purl.obolibrary.org/obo/OBA_2050057"	
<http://www.ebi.ac.uk/efo/EFO_0007955>	"http://purl.obolibrary.org/obo/OBA_VT0000452"	
<http://www.ebi.ac.uk/efo/EFO_0007967>	"http://purl.obolibrary.org/obo/OBA_0004561"	
<http://www.ebi.ac.uk/efo/EFO_0007968>	"http://purl.obolibrary.org/obo/OBA_2050208"	
<http://www.ebi.ac.uk/efo/EFO_0007978>	"http://purl.obolibrary.org/obo/OBA_2045260"	
<http://www.ebi.ac.uk/efo/EFO_0007981>	"OBA:2040083"	
<http://www.ebi.ac.uk/efo/EFO_0007988>	"http://purl.obolibrary.org/obo/OBA_2045223"	
<http://www.ebi.ac.uk/efo/EFO_0008001>	"http://purl.obolibrary.org/obo/OBA_VT0003564"	
<http://www.ebi.ac.uk/efo/EFO_0008005>	"http://purl.obolibrary.org/obo/OBA_VT0005450"	
<http://www.ebi.ac.uk/efo/EFO_0008006>	"http://purl.obolibrary.org/obo/OBA_0005494"	
<http://www.ebi.ac.uk/efo/EFO_0008030>	"http://purl.obolibrary.org/obo/OBA_2050219"	
<http://www.ebi.ac.uk/efo/EFO_0008032>	"http://purl.obolibrary.org/obo/OBA_2050275"	
<http://www.ebi.ac.uk/efo/EFO_0008035>	"http://purl.obolibrary.org/obo/OBA_2050169"	
<http://www.ebi.ac.uk/efo/EFO_0008040>	"http://purl.obolibrary.org/obo/OBA_2050192"	
<http://www.ebi.ac.uk/efo/EFO_0008079>	"http://purl.obolibrary.org/obo/OBA_2050274"	
<http://www.ebi.ac.uk/efo/EFO_0008080>	"http://purl.obolibrary.org/obo/OBA_VT0000254"	
<http://www.ebi.ac.uk/efo/EFO_0008087>	"http://purl.obolibrary.org/obo/OBA_2050268"	
<http://www.ebi.ac.uk/efo/EFO_0008119>	"http://purl.obolibrary.org/obo/OBA_2050258"	
<http://www.ebi.ac.uk/efo/EFO_0008123>	"http://purl.obolibrary.org/obo/OBA_2050321"	
<http://www.ebi.ac.uk/efo/EFO_0008124>	"http://purl.obolibrary.org/obo/OBA_2050305"	
<http://www.ebi.ac.uk/efo/EFO_0008126>	"http://purl.obolibrary.org/obo/OBA_2050232"	
<http://www.ebi.ac.uk/efo/EFO_0008129>	"http://purl.obolibrary.org/obo/OBA_2050154"	
<http://www.ebi.ac.uk/efo/EFO_0008130>	"http://purl.obolibrary.org/obo/OBA_2050154"	
<http://www.ebi.ac.uk/efo/EFO_0008152>	"http://purl.obolibrary.org/obo/OBA_2050144"	
<http://www.ebi.ac.uk/efo/EFO_0008153>	"http://purl.obolibrary.org/obo/OBA_2050160"	
<http://www.ebi.ac.uk/efo/EFO_0008154>	"http://purl.obolibrary.org/obo/OBA_2050170"	
<http://www.ebi.ac.uk/efo/EFO_0008161>	"http://purl.obolibrary.org/obo/OBA_2050142"	
<http://www.ebi.ac.uk/efo/EFO_0008170>	"http://www.ebi.ac.uk/efo/EFO_0801715"	
<http://www.ebi.ac.uk/efo/EFO_0008223>	"http://purl.obolibrary.org/obo/OBA_2050294"	
