ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_98971	true	http://purl.obolibrary.org/obo/MONDO_0013027	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0013027
http://www.orpha.net/ORDO/Orphanet_73271	true	http://purl.obolibrary.org/obo/MONDO_0019138	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019138
http://www.orpha.net/ORDO/Orphanet_289176	true	http://purl.obolibrary.org/obo/MONDO_0017324	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017324
http://www.orpha.net/ORDO/Orphanet_90025	true	http://purl.obolibrary.org/obo/MONDO_0021002	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0021002
http://www.orpha.net/ORDO/Orphanet_183450	true	http://purl.obolibrary.org/obo/MONDO_0021027	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0021027
http://www.orpha.net/ORDO/Orphanet_156159	true	http://purl.obolibrary.org/obo/MONDO_0015494	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015494
http://www.orpha.net/ORDO/Orphanet_155899	true	http://purl.obolibrary.org/obo/MONDO_0015483	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015483
http://www.orpha.net/ORDO/Orphanet_177	true	http://purl.obolibrary.org/obo/MONDO_0015776	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015776
http://www.orpha.net/ORDO/Orphanet_15	true	http://purl.obolibrary.org/obo/MONDO_0007037	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0007037
http://www.orpha.net/ORDO/Orphanet_79433	true	http://purl.obolibrary.org/obo/MONDO_0008747	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008747
http://www.orpha.net/ORDO/Orphanet_370114	true	http://purl.obolibrary.org/obo/MONDO_0018267	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018267
http://www.orpha.net/ORDO/Orphanet_93214	true	http://purl.obolibrary.org/obo/MONDO_0019652	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019652
http://www.orpha.net/ORDO/Orphanet_908	true	http://purl.obolibrary.org/obo/MONDO_0010383	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010383
http://www.orpha.net/ORDO/Orphanet_217093	true	http://purl.obolibrary.org/obo/MONDO_0016316	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016316
http://www.orpha.net/ORDO/Orphanet_98099	true	http://purl.obolibrary.org/obo/MONDO_0020047	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0020047
http://www.orpha.net/ORDO/Orphanet_97245	true	http://purl.obolibrary.org/obo/MONDO_0019952	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019952
http://www.orpha.net/ORDO/Orphanet_168491	true	http://purl.obolibrary.org/obo/MONDO_0015674	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015674
http://www.orpha.net/ORDO/Orphanet_247604	true	http://purl.obolibrary.org/obo/MONDO_0011663	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011663
