label	ID	parent_term
ANXA11/ANXA3 protein level ratio in blood	OBA_2054282	protein measurement (EFO_0004747)
ANXA11/DAPP1 protein level ratio in blood	OBA_2054283	protein measurement (EFO_0004747)
ANXA11/NT5C3A protein level ratio in blood	OBA_2054284	protein measurement (EFO_0004747)
ANXA3/ANXA4 protein level ratio in blood	OBA_2054285	protein measurement (EFO_0004747)
ANXA3/BID protein level ratio in blood	OBA_2054311	protein measurement (EFO_0004747)
ANXA3/EDAR protein level ratio in blood	OBA_2054312	protein measurement (EFO_0004747)
ANXA3/ENO2 protein level ratio in blood	OBA_2054313	protein measurement (EFO_0004747)
ANXA3/HCLS1 protein level ratio in blood	OBA_2054314	protein measurement (EFO_0004747)
ANXA3/LBR protein level ratio in blood	OBA_2054315	protein measurement (EFO_0004747)
ANXA3/MSRA protein level ratio in blood	OBA_2054316	protein measurement (EFO_0004747)
ANXA3/NSFL1C protein level ratio in blood	OBA_2054317	protein measurement (EFO_0004747)
ANXA3/PFKFB2 protein level ratio in blood	OBA_2054318	protein measurement (EFO_0004747)
ANXA3/PRDX5 protein level ratio in blood	OBA_2054319	protein measurement (EFO_0004747)
ANXA3/RWDD1 protein level ratio in blood	OBA_2054320	protein measurement (EFO_0004747)
ANXA3/SERPINB1 protein level ratio in blood	OBA_2054321	protein measurement (EFO_0004747)
ANXA4/CA13 protein level ratio in blood	OBA_2054322	protein measurement (EFO_0004747)
ANXA4/FADD protein level ratio in blood	OBA_2054323	protein measurement (EFO_0004747)
ANXA4/HSPB1 protein level ratio in blood	OBA_2054324	protein measurement (EFO_0004747)
ANXA4/LACTB2 protein level ratio in blood	OBA_2054325	protein measurement (EFO_0004747)
ANXA4/TYMP protein level ratio in blood	OBA_2054326	protein measurement (EFO_0004747)
AOC3/ITGB1 protein level ratio in blood	OBA_2054327	protein measurement (EFO_0004747)
AP-4 complex accessory subunit tepsin measurement	EFO_0801384	protein measurement (EFO_0004747)
AP-4 complex subunit mu-1 measurement	EFO_0801385	protein measurement (EFO_0004747)
APBB1IP/ELOA protein level ratio in blood	OBA_2054328	protein measurement (EFO_0004747)
APBB1IP/LSP1 protein level ratio in blood	OBA_2054329	protein measurement (EFO_0004747)
APBB1IP/NADK protein level ratio in blood	OBA_2054330	protein measurement (EFO_0004747)
APBB1IP/NCF2 protein level ratio in blood	OBA_2054331	protein measurement (EFO_0004747)
APBB1IP/POLR2F protein level ratio in blood	OBA_2054332	protein measurement (EFO_0004747)
APBB1IP/PXN protein level ratio in blood	OBA_2054333	protein measurement (EFO_0004747)
APEX1/DPY30 protein level ratio in blood	OBA_2054334	protein measurement (EFO_0004747)
APEX1/ELOA protein level ratio in blood	OBA_2054335	protein measurement (EFO_0004747)
APEX1/FUS protein level ratio in blood	OBA_2054386	protein measurement (EFO_0004747)
APEX1/GPKOW protein level ratio in blood	OBA_2055166	protein measurement (EFO_0004747)
APEX1/HCLS1 protein level ratio in blood	OBA_2055167	protein measurement (EFO_0004747)
APEX1/LSP1 protein level ratio in blood	OBA_2055168	protein measurement (EFO_0004747)
APEX1/METAP2 protein level ratio in blood	OBA_2055169	protein measurement (EFO_0004747)
APEX1/NCF2 protein level ratio in blood	OBA_2055170	protein measurement (EFO_0004747)
APEX1/NMNAT1 protein level ratio in blood	OBA_2055171	protein measurement (EFO_0004747)
APEX1/PSIP1 protein level ratio in blood	OBA_2055172	protein measurement (EFO_0004747)
APEX1/SRP14 protein level ratio in blood	OBA_2055173	protein measurement (EFO_0004747)
APOBEC1 complementation factor measurement	EFO_0801386	protein measurement (EFO_0004747)
APOM/CD300LG protein level ratio in blood	OBA_2055174	protein measurement (EFO_0004747)
APOM/ERBB3 protein level ratio in blood	OBA_2055175	protein measurement (EFO_0004747)
APOM/MCAM protein level ratio in blood	OBA_2055176	protein measurement (EFO_0004747)
APP/BIN2 protein level ratio in blood	OBA_2055177	protein measurement (EFO_0004747)
APP/CCL28 protein level ratio in blood	OBA_2055178	protein measurement (EFO_0004747)
APP/CCL5 protein level ratio in blood	OBA_2055179	protein measurement (EFO_0004747)
APP/CD40LG protein level ratio in blood	OBA_2055180	protein measurement (EFO_0004747)
APP/DAG1 protein level ratio in blood	OBA_2055181	protein measurement (EFO_0004747)
APP/DKK1 protein level ratio in blood	OBA_2055182	protein measurement (EFO_0004747)
APP/EGF protein level ratio in blood	OBA_2053911	protein measurement (EFO_0004747)
APP/FKBP1B protein level ratio in blood	OBA_2053912	protein measurement (EFO_0004747)
APP/HBEGF protein level ratio in blood	OBA_2053913	protein measurement (EFO_0004747)
APP/LAMA4 protein level ratio in blood	OBA_2053914	protein measurement (EFO_0004747)
APP/NID1 protein level ratio in blood	OBA_2053915	protein measurement (EFO_0004747)
APP/NID2 protein level ratio in blood	OBA_2053916	protein measurement (EFO_0004747)
APP/PDGFA protein level ratio in blood	OBA_2053917	protein measurement (EFO_0004747)
APP/PDGFB protein level ratio in blood	OBA_2053918	protein measurement (EFO_0004747)
APP/PPP1R12A protein level ratio in blood	OBA_2053919	protein measurement (EFO_0004747)
APP/SPARC protein level ratio in blood	OBA_2053920	protein measurement (EFO_0004747)
APP/TMSB10 protein level ratio in blood	OBA_2053921	protein measurement (EFO_0004747)
APP/VEGFC protein level ratio in blood	OBA_2053922	protein measurement (EFO_0004747)
APRT/CD63 protein level ratio in blood	OBA_2053923	protein measurement (EFO_0004747)
APRT/EREG protein level ratio in blood	OBA_2053924	protein measurement (EFO_0004747)
APRT/MIF protein level ratio in blood	OBA_2053925	protein measurement (EFO_0004747)
APRT/NSFL1C protein level ratio in blood	OBA_2053926	protein measurement (EFO_0004747)
APRT/PSME1 protein level ratio in blood	OBA_2053927	protein measurement (EFO_0004747)
ARG1/HAGH protein level ratio in blood	OBA_2053928	protein measurement (EFO_0004747)
ARG1/HMBS protein level ratio in blood	OBA_2053929	protein measurement (EFO_0004747)
ARG1/PKLR protein level ratio in blood	OBA_2053930	protein measurement (EFO_0004747)
ARG1/TGM2 protein level ratio in blood	OBA_2053931	protein measurement (EFO_0004747)
ARHGAP1/RAD23B protein level ratio in blood	OBA_2053932	protein measurement (EFO_0004747)
