?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2044253>	"level of outer mitochondrial transmembrane helix translocase in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044754>	"level of low-density lipoprotein receptor class A domain-containing protein 3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042025>	"level of alpha-internexin in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051713>	"level of protein LAP4 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051197>	"level of disintegrin and metalloproteinase domain-containing protein 12 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043789>	"level of tubulin-specific chaperone A in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041146>	"level of Crk-like protein in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044863>	"level of cytochrome b-245 chaperone 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040434>	"level of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050461"	"level of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 in blood"
<http://purl.obolibrary.org/obo/OBA_2041021>	"level of carbohydrate sulfotransferase 11 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042445>	"level of homeobox protein MSX-2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044059>	"level of ubiquitin carboxyl-terminal hydrolase 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052185>	"amount of GDNF family receptor alpha-1 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041117>	"level of complexin-1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050918>	"level of transcription factor SOX-2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044814>	"level of single-pass membrane and coiled-coil domain-containing protein 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041714>	"level of growth hormone variant in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044358>	"level of NAD-dependent protein deacetylase sirtuin-3, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044101>	"level of vimentin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050985"	"level of vimentin in blood"
<http://purl.obolibrary.org/obo/OBA_2040704>	"level of aspartoacylase in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052781>	"amount of beta-galactoside alpha-2,6-sialyltransferase 1 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
