?child	?label
<http://www.ebi.ac.uk/efo/EFO_0020889>	"valine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0801113>	"aspartic acid measurement"
<http://www.ebi.ac.uk/efo/EFO_0009765>	"alanine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021430>	"N-acetyl-beta-alanine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0020884>	"alanine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0009777>	"citrulline measurement"
<http://www.ebi.ac.uk/efo/EFO_0010476>	"dimethylglycine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009793>	"isoleucine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020887>	"isoleucine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0010472>	"creatine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010461>	"argininosuccinate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009766>	"asparagine measurement"
<http://www.ebi.ac.uk/efo/EFO_0010482>	"gamma-aminoisobutyric acid measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0008534>	"tryptophan measurement"
<http://www.ebi.ac.uk/efo/EFO_0009767>	"glycine measurement"
<http://www.ebi.ac.uk/efo/EFO_0010474>	"cystathionine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0006523>	"symmetrical dimethylarginine measurement"
<http://www.ebi.ac.uk/efo/EFO_0010463>	"asymmetric dimethylarginine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009774>	"serine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021777>	"serine:glycine ratio"@en
<http://www.ebi.ac.uk/efo/EFO_0009770>	"leucine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020888>	"leucine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0010447>	"3-hydroxyanthranilic acid measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801160>	"GABA measurement"
<http://www.ebi.ac.uk/efo/EFO_0009768>	"glutamine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020885>	"glutamine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0009769>	"histidine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020886>	"histidine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0010531>	"S-adenosylhomocysteine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009776>	"ornithine measurement"
<http://www.ebi.ac.uk/efo/EFO_0009771>	"methionine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021427>	"N-acetylmethionine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010469>	"carnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0020019>	"isovalerylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801119>	"C10:2 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801128>	"C3-DC-CH3 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801153>	"C5 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021806>	"hexadecenoylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801121>	"C14:2 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801123>	"C18:1 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020010>	"butyrylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021808>	"dodecenoylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021809>	"tetradecenoylcarnitine meaasurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021807>	"hydroxyhexadecanoylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801122>	"C18 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020020>	"succinylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801154>	"C7 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801155>	"C9 carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021804>	"dodecanoylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021805>	"hydroxyvalerylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021803>	"decenoylcarnitine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0801150>	"C4-OH carnitine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020017>	"2-aminobutyrate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0005001>	"phenylalanine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020890>	"phenylalanine change measurement"
<http://www.ebi.ac.uk/efo/EFO_0010464>	"beta-aminoisobutyric acid measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010510>	"NG-monomethyl-arginine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0004578>	"homocysteine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801100>	"2-aminoisobutyric acid measurement"
<http://www.ebi.ac.uk/efo/EFO_0009773>	"proline measurement"
<http://www.ebi.ac.uk/efo/EFO_0010459>	"aminoadipic acid measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010460>	"anthranilic acid measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0005130>	"thyroxine measurement"
<http://www.ebi.ac.uk/efo/EFO_0801161>	"gabapentin measurement"
<http://www.ebi.ac.uk/efo/EFO_0020021>	"N-acetyltyrosine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0006522>	"asymmetrical dimethylarginine measurement"
<http://www.ebi.ac.uk/efo/EFO_0010462>	"aspartate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0021833>	"hypotaurine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010521>	"phosphocreatine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010487>	"glutamate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0008392>	"triiodothyronine measurement"
<http://www.ebi.ac.uk/efo/EFO_0020990>	"arginine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0006524>	"L-arginine measurement"
<http://www.ebi.ac.uk/efo/EFO_0021429>	"N-acetylarginine measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0004886>	"intracranial volume measurement"
<http://www.ebi.ac.uk/efo/EFO_0008369>	"infant intracranial volume measurement"
<http://www.ebi.ac.uk/efo/EFO_0021533>	"blood vanadium measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009720>	"able to hear with hearing aids"
<http://www.ebi.ac.uk/efo/EFO_0009095>	"psychological measurement"
<http://www.ebi.ac.uk/efo/EFO_0009945>	"psychological resilience measurement"
<http://www.ebi.ac.uk/efo/EFO_0009750>	"dissociation measurement"
<http://www.ebi.ac.uk/efo/EFO_0009103>	"theory of mind measurement"
<http://www.ebi.ac.uk/efo/EFO_0009100>	"social domain measurement"
<http://www.ebi.ac.uk/efo/EFO_0009099>	"arousal domain measurement"
<http://www.ebi.ac.uk/efo/EFO_0009098>	"cognitive domain measurement"
<http://www.ebi.ac.uk/efo/EFO_0009097>	"positive domain measurement"
<http://www.ebi.ac.uk/efo/EFO_0009096>	"negative domain measurement"
<http://www.ebi.ac.uk/efo/EFO_0006952>	"cytotoxicity measurement"
<http://www.ebi.ac.uk/efo/EFO_0010978>	"chemotherapy-induced cytotoxicity measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0007911>	"personality trait measurement"
<http://www.ebi.ac.uk/efo/EFO_0010650>	"creativity measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010221>	"systemising measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0009183>	"empathy measurement"
<http://www.ebi.ac.uk/efo/EFO_0007915>	"agreeableness measurement"
<http://www.ebi.ac.uk/efo/EFO_0007914>	"openness measurement"
<http://www.ebi.ac.uk/efo/EFO_0007913>	"extraversion measurement"
<http://www.ebi.ac.uk/efo/EFO_0007912>	"conscientiousness measurement"
<http://www.ebi.ac.uk/efo/EFO_0007660>	"neuroticism measurement"
<http://www.ebi.ac.uk/efo/EFO_0010497>	"hydroxide measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010504>	"inositol measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010088>	"beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010090>	"sweet beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010097>	"sugar sweetened beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010096>	"artificially sweetened beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010095>	"non-grapefruit juice consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010089>	"bitter beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010094>	"grapefruit juice consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010093>	"bitter non-alcoholic beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010092>	"bitter alcoholic beverage consumption measurement"
<http://www.ebi.ac.uk/efo/EFO_0010091>	"tea consumption measurement"
