?child	?label
<http://purl.obolibrary.org/obo/HP_0002857>	"Genu valgum"
<http://purl.obolibrary.org/obo/HP_0010884>	"Acromelia"
<http://purl.obolibrary.org/obo/HP_0003325>	"Limb-girdle muscle weakness"
<http://purl.obolibrary.org/obo/HP_0003749>	"Pelvic girdle muscle weakness"
<http://purl.obolibrary.org/obo/HP_0003547>	"Shoulder girdle muscle weakness"
<http://purl.obolibrary.org/obo/HP_0002509>	"Limb hypertonia"
<http://purl.obolibrary.org/obo/HP_0200049>	"Upper limb hypertonia"
<http://purl.obolibrary.org/obo/HP_0006895>	"Lower limb hypertonia"
<http://purl.obolibrary.org/obo/HP_0100255>	"Metaphyseal dysplasia"
<http://purl.obolibrary.org/obo/HP_0002817>	"Abnormality of the upper limb"
<http://purl.obolibrary.org/obo/HP_0001176>	"Large hands"
<http://purl.obolibrary.org/obo/HP_0009487>	"Ulnar deviation of the hand"
<http://purl.obolibrary.org/obo/HP_0004277>	"Fractured hand bones"
<http://purl.obolibrary.org/obo/HP_0040070>	"Abnormal upper limb bone morphology"
<http://purl.obolibrary.org/obo/HP_0005033>	"Distal ulnar hypoplasia"
<http://purl.obolibrary.org/obo/HP_0010049>	"Short metacarpal"
<http://purl.obolibrary.org/obo/HP_0010047>	"Short 5th metacarpal"
<http://purl.obolibrary.org/obo/HP_0006433>	"Radial dysplasia"
<http://purl.obolibrary.org/obo/HP_0001495>	"Carpal osteolysis"
<http://purl.obolibrary.org/obo/HP_0009642>	"Broad distal phalanx of the thumb"
<http://purl.obolibrary.org/obo/HP_0008997>	"Proximal muscle weakness in upper limbs"
<http://purl.obolibrary.org/obo/HP_0009130>	"Hand muscle atrophy"
<http://purl.obolibrary.org/obo/HP_0009824>	"Upper limb undergrowth"
<http://purl.obolibrary.org/obo/HP_0001167>	"Abnormal finger morphology"
<http://purl.obolibrary.org/obo/HP_0009237>	"Short 5th finger"
<http://purl.obolibrary.org/obo/HP_0100759>	"Clubbing of fingers"
<http://purl.obolibrary.org/obo/HP_0001162>	"Postaxial hand polydactyly"
<http://purl.obolibrary.org/obo/HP_0040019>	"Finger clinodactyly"
<http://purl.obolibrary.org/obo/HP_0004209>	"Clinodactyly of the 5th finger"
<http://purl.obolibrary.org/obo/HP_0100807>	"Long fingers"
<http://purl.obolibrary.org/obo/HP_0001182>	"Tapered finger"
<http://purl.obolibrary.org/obo/HP_0009803>	"Short phalanx of finger"
<http://purl.obolibrary.org/obo/HP_0006118>	"Shortening of all distal phalanges of the fingers"
<http://purl.obolibrary.org/obo/HP_0001172>	"Abnormal thumb morphology"
<http://purl.obolibrary.org/obo/HP_0009944>	"Partial duplication of thumb phalanx"
<http://purl.obolibrary.org/obo/HP_0009943>	"Complete duplication of thumb phalanx"
<http://purl.obolibrary.org/obo/HP_0009623>	"Proximal placement of thumb"
<http://purl.obolibrary.org/obo/HP_0009601>	"Aplasia/Hypoplasia of the thumb"
<http://purl.obolibrary.org/obo/HP_0009778>	"Short thumb"
<http://purl.obolibrary.org/obo/HP_0006165>	"Proportionate shortening of all digits"
<http://purl.obolibrary.org/obo/HP_0006150>	"Swan neck-like deformities of the fingers"
