?child	?label
<http://purl.obolibrary.org/obo/UBERON_2001062>	"presumptive mesencephalic artery"
<http://purl.obolibrary.org/obo/UBERON_0002250>	"popliteal artery"
<http://purl.obolibrary.org/obo/UBERON_0001540>	"peroneal artery"
<http://purl.obolibrary.org/obo/UBERON_0003469>	"respiratory system artery"
<http://purl.obolibrary.org/obo/UBERON_0004363>	"pharyngeal arch artery"
<http://purl.obolibrary.org/obo/UBERON_0003123>	"pharyngeal arch artery 6"
<http://purl.obolibrary.org/obo/UBERON_0003119>	"pharyngeal arch artery 2"
<http://purl.obolibrary.org/obo/UBERON_0003122>	"pharyngeal arch artery 5"
<http://purl.obolibrary.org/obo/UBERON_0003120>	"pharyngeal arch artery 3"
<http://purl.obolibrary.org/obo/UBERON_0003118>	"pharyngeal arch artery 1"
<http://purl.obolibrary.org/obo/UBERON_0003121>	"pharyngeal arch artery 4"
<http://www.ebi.ac.uk/efo/EFO_0001954>	"division of carotid artery"
<http://purl.obolibrary.org/obo/UBERON_2001059>	"cranial division of the internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_2001051>	"caudal division of the internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0001193>	"hepatic artery"
<http://purl.obolibrary.org/obo/UBERON_0003086>	"caudal artery"
<http://purl.obolibrary.org/obo/UBERON_0002333>	"pulmonary trunk"
<http://purl.obolibrary.org/obo/UBERON_0004573>	"systemic artery"
<http://purl.obolibrary.org/obo/UBERON_0005396>	"carotid artery segment"
<http://purl.obolibrary.org/obo/UBERON_0001532>	"internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0007142>	"left internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0007143>	"right internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0001070>	"external carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0005431>	"anterior spinal artery"
<http://purl.obolibrary.org/obo/UBERON_2000677>	"segmental intercostal artery"
<http://purl.obolibrary.org/obo/UBERON_0001529>	"brachiocephalic artery"
<http://purl.obolibrary.org/obo/UBERON_0004449>	"cerebral artery"
<http://purl.obolibrary.org/obo/UBERON_0005609>	"iliac artery"
<http://purl.obolibrary.org/obo/UBERON_2001053>	"future internal carotid artery"
<http://purl.obolibrary.org/obo/UBERON_0001184>	"renal artery"
<http://www.ebi.ac.uk/efo/EFO_0002594>	"proximal renal artery"
<http://www.ebi.ac.uk/efo/EFO_0002593>	"distal renal artery"
<http://purl.obolibrary.org/obo/UBERON_0001310>	"umbilical artery"
<http://purl.obolibrary.org/obo/UBERON_2001054>	"lateral dorsal aorta"
<http://purl.obolibrary.org/obo/UBERON_0001632>	"temporal artery"
<http://purl.obolibrary.org/obo/UBERON_0007610>	"tibial artery"
<http://purl.obolibrary.org/obo/UBERON_0012320>	"cervical artery"
<http://purl.obolibrary.org/obo/UBERON_0001398>	"brachial artery"
<http://purl.obolibrary.org/obo/UBERON_0002060>	"femoral artery"
<http://purl.obolibrary.org/obo/UBERON_0003504>	"respiratory system blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003512>	"lung blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0016405>	"pulmonary capillary"
<http://purl.obolibrary.org/obo/UBERON_0003505>	"trachea blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003476>	"respiratory system venous blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0003499>	"brain blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0006666>	"great cerebral vein"
<http://purl.obolibrary.org/obo/UBERON_0001638>	"vein"
<http://purl.obolibrary.org/obo/UBERON_2005034>	"parachordal vessel"
<http://purl.obolibrary.org/obo/UBERON_2001063>	"posterior caudal vein"
<http://purl.obolibrary.org/obo/UBERON_0036267>	"vulval vein"
<http://purl.obolibrary.org/obo/UBERON_0001143>	"hepatic vein"
<http://purl.obolibrary.org/obo/UBERON_2005017>	"primordial midbrain channel"
<http://purl.obolibrary.org/obo/UBERON_0001639>	"hepatic portal vein"
<http://purl.obolibrary.org/obo/UBERON_2005093>	"nasal vein"
<http://purl.obolibrary.org/obo/UBERON_0036268>	"pelvic vein"
<http://purl.obolibrary.org/obo/UBERON_0006841>	"central vein of liver"
<http://purl.obolibrary.org/obo/UBERON_0001673>	"central retinal vein"
<http://purl.obolibrary.org/obo/UBERON_2005010>	"mid cerebral vein"
<http://purl.obolibrary.org/obo/UBERON_0002066>	"umbilical vein"
<http://www.ebi.ac.uk/efo/EFO_0004923>	"peripheral vein"
<http://purl.obolibrary.org/obo/UBERON_0014907>	"intersomitic vessel"
<http://purl.obolibrary.org/obo/UBERON_0001982>	"capillary"
<http://purl.obolibrary.org/obo/UBERON_0004212>	"glomerular capillary"
<http://purl.obolibrary.org/obo/UBERON_0001473>	"lymphatic vessel"
<http://purl.obolibrary.org/obo/UBERON_0003456>	"respiratory system lymphatic vessel"
<http://purl.obolibrary.org/obo/UBERON_0001238>	"lamina propria of small intestine"
<http://www.ebi.ac.uk/efo/EFO_0003861>	"pancreactic component"
<http://purl.obolibrary.org/obo/CL_0005019>	"pancreatic epsilon cell"
<http://purl.obolibrary.org/obo/UBERON_0000006>	"islet of Langerhans"
<http://purl.obolibrary.org/obo/CL_0002275>	"pancreatic PP cell"
<http://purl.obolibrary.org/obo/UBERON_0004913>	"hepatopancreatic ampulla"
<http://purl.obolibrary.org/obo/UBERON_0007329>	"pancreatic duct"
<http://purl.obolibrary.org/obo/CL_0000171>	"pancreatic A cell"
<http://purl.obolibrary.org/obo/UBERON_0000017>	"exocrine pancreas"
